id_venta,fecha,producto,categoria,cantidad,precio_unitario,total_venta,metodo_pago,sucursal
218,2024-11-14,Jabón Barra,Limpieza,11,4.2,46.2,Transferencia,Sucursal Sur
219,2024-10-09,Jabón Barra,Limpieza,18,4.2,75.6,Tarjeta Crédito,Sucursal Este
220,2024-05-26,Croissant,Panadería,10,3.5,35.0,QR,Sucursal Sur
221,2024-08-01,Yogur Natural,Lácteos,11,5.5,60.5,QR,Sucursal Este
222,2024-09-17,Café Molido 250g,Bebidas,2,15.5,31.0,Efectivo,Sucursal Sur
223,2024-11-21,Pasta Dental,Higiene,7,9.8,68.6,Efectivo,Sucursal Centro
224,2024-08-28,Detergente,Limpieza,15,12.5,187.5,Tarjeta Crédito,Sucursal Este
225,2024-07-01,Jabón Barra,Limpieza,9,4.2,37.8,Tarjeta Crédito,Sucursal Este
226,2024-01-11,Café Molido 250g,Bebidas,11,15.5,170.5,Tarjeta Crédito,Sucursal Centro
227,2024-02-23,Azúcar 1Kg,Abarrotes,4,7.5,30.0,QR,Sucursal Sur
228,2024-11-16,Manzana Kg,Frutas,9,9.0,81.0,Transferencia,Sucursal Centro
229,2024-06-19,Yogur Natural,Lácteos,5,5.5,27.5,Tarjeta Débito,Sucursal Centro
230,2024-11-12,Pan Integral,Panadería,15,6.8,102.0,Transferencia,Sucursal Centro
231,2024-10-05,Arroz 1Kg,Abarrotes,2,8.0,16.0,Transferencia,Sucursal Norte
232,2024-07-18,Café Molido 250g,Bebidas,19,15.5,294.5,Tarjeta Crédito,Sucursal Norte
233,2024-11-27,Leche Entera 1L,Lácteos,7,7.2,50.4,QR,Sucursal Centro
234,2024-06-07,Manzana Kg,Frutas,16,9.0,144.0,Efectivo,Sucursal Sur
235,2024-11-05,Pasta Dental,Higiene,9,9.8,88.2,QR,Sucursal Sur
236,2024-11-26,Plátano Kg,Frutas,3,6.5,19.5,Transferencia,Sucursal Este
237,2024-03-21,Pasta Dental,Higiene,6,9.8,58.8,Transferencia,Sucursal Norte
238,2024-11-27,Croissant,Panadería,3,3.5,10.5,QR,Sucursal Norte
239,2024-11-30,Pasta Dental,Higiene,14,9.8,137.2,Tarjeta Débito,Sucursal Norte
240,2024-03-24,Té Verde,Bebidas,8,8.9,71.2,QR,Sucursal Sur
241,2024-09-20,Manzana Kg,Frutas,18,9.0,162.0,QR,Sucursal Norte
242,2024-12-30,Café Molido 250g,Bebidas,3,15.5,46.5,Tarjeta Crédito,Sucursal Norte
243,2024-10-20,Azúcar 1Kg,Abarrotes,14,7.5,105.0,Transferencia,Sucursal Este
244,2024-05-28,Detergente,Limpieza,13,12.5,162.5,Transferencia,Sucursal Este
245,2024-06-17,Yogur Natural,Lácteos,8,5.5,44.0,QR,Sucursal Sur
246,2024-11-23,Yogur Natural,Lácteos,7,5.5,38.5,Transferencia,Sucursal Sur
247,2024-02-18,Café Molido 250g,Bebidas,13,15.5,201.5,Tarjeta Crédito,Sucursal Norte
248,2024-07-05,Arroz 1Kg,Abarrotes,9,8.0,72.0,Transferencia,Sucursal Centro
249,2024-03-09,Té Verde,Bebidas,12,8.9,106.8,QR,Sucursal Este
250,2024-01-31,Manzana Kg,Frutas,1,9.0,9.0,Efectivo,Sucursal Este
251,2024-02-20,Jabón Barra,Limpieza,15,4.2,63.0,QR,Sucursal Sur
252,2024-04-14,Plátano Kg,Frutas,10,6.5,65.0,Transferencia,Sucursal Norte
253,2024-08-06,Shampoo,Higiene,17,15.0,255.0,Efectivo,Sucursal Centro
254,2024-07-11,Té Verde,Bebidas,20,8.9,178.0,Tarjeta Crédito,Sucursal Norte
255,2024-05-24,Manzana Kg,Frutas,2,9.0,18.0,Efectivo,Sucursal Norte
256,2024-03-30,Leche Entera 1L,Lácteos,3,7.2,21.6,QR,Sucursal Sur
257,2024-01-26,Café Molido 250g,Bebidas,1,15.5,15.5,QR,Sucursal Centro
258,2024-06-01,Azúcar 1Kg,Abarrotes,3,7.5,22.5,QR,Sucursal Norte
259,2024-10-27,Detergente,Limpieza,2,12.5,25.0,Tarjeta Crédito,Sucursal Sur
260,2024-12-05,Arroz 1Kg,Abarrotes,17,8.0,136.0,QR,Sucursal Centro
261,2024-03-14,Aceite 1L,Abarrotes,10,18.0,180.0,QR,Sucursal Sur
262,2024-04-20,Té Verde,Bebidas,6,8.9,53.4,Tarjeta Débito,Sucursal Sur
263,2024-08-19,Arroz 1Kg,Abarrotes,6,8.0,48.0,Efectivo,Sucursal Sur
264,2024-10-05,Pan Integral,Panadería,2,6.8,13.6,Transferencia,Sucursal Este
265,2024-09-04,Shampoo,Higiene,9,15.0,135.0,Tarjeta Débito,Sucursal Este
266,2024-07-03,Yogur Natural,Lácteos,4,5.5,22.0,Efectivo,Sucursal Sur
267,2024-01-06,Plátano Kg,Frutas,7,6.5,45.5,QR,Sucursal Este
268,2024-08-10,Leche Entera 1L,Lácteos,2,7.2,14.4,QR,Sucursal Sur
269,2024-08-15,Shampoo,Higiene,15,15.0,225.0,Tarjeta Crédito,Sucursal Norte
270,2024-02-11,Manzana Kg,Frutas,4,9.0,36.0,Transferencia,Sucursal Sur
271,2024-03-29,Azúcar 1Kg,Abarrotes,18,7.5,135.0,Transferencia,Sucursal Este
272,2024-05-05,Arroz 1Kg,Abarrotes,19,8.0,152.0,Tarjeta Crédito,Sucursal Sur
273,2024-10-10,Café Molido 250g,Bebidas,5,15.5,77.5,Tarjeta Crédito,Sucursal Centro
274,2024-01-20,Té Verde,Bebidas,2,8.9,17.8,Tarjeta Débito,Sucursal Este
275,2024-08-20,Detergente,Limpieza,15,12.5,187.5,Efectivo,Sucursal Norte
276,2024-10-14,Azúcar 1Kg,Abarrotes,11,7.5,82.5,Efectivo,Sucursal Sur
277,2024-06-07,Yogur Natural,Lácteos,2,5.5,11.0,Tarjeta Débito,Sucursal Norte
278,2024-07-13,Plátano Kg,Frutas,6,6.5,39.0,QR,Sucursal Este
279,2024-07-26,Manzana Kg,Frutas,6,9.0,54.0,Tarjeta Débito,Sucursal Centro
280,2024-09-26,Shampoo,Higiene,20,15.0,300.0,Efectivo,Sucursal Sur
281,2024-05-29,Pasta Dental,Higiene,19,9.8,186.2,Tarjeta Débito,Sucursal Norte
282,2024-02-06,Yogur Natural,Lácteos,5,5.5,27.5,QR,Sucursal Este
283,2024-07-07,Detergente,Limpieza,14,12.5,175.0,Tarjeta Crédito,Sucursal Sur
284,2024-04-07,Arroz 1Kg,Abarrotes,12,8.0,96.0,Transferencia,Sucursal Sur
285,2024-10-08,Té Verde,Bebidas,10,8.9,89.0,Tarjeta Débito,Sucursal Norte
286,2024-11-18,Plátano Kg,Frutas,1,6.5,6.5,Tarjeta Débito,Sucursal Este
287,2024-09-09,Aceite 1L,Abarrotes,6,18.0,108.0,Tarjeta Crédito,Sucursal Centro
